Date,Close Price,Open Price,High Price,Low Price,Volume,Change %
01-08-2024,156.3,159.3,159.4,156.1,79.15M,-2.56%
31-07-2024,160.4,158.2,160.7,158.1,173.91M,1.07%
30-07-2024,158.7,158.8,159.2,158,138.14M,-0.63%
29-07-2024,159.7,158.7,160.2,158.4,126.28M,1.14%
26-07-2024,157.9,159.3,159.6,157.9,155.08M,-0.13%
25-07-2024,158.1,157,159,156.8,190.62M,-0.25%
24-07-2024,158.5,160,160.4,158.4,168.57M,-1.37%
23-07-2024,160.7,161.6,161.7,159.8,165.79M,0.50%
22-07-2024,159.9,159.5,159.9,157.9,136.12M,0.57%
19-07-2024,159,160.1,160.9,158.7,166.57M,-1.12%
18-07-2024,160.8,159.1,161.2,158.6,202.73M,0.69%
17-07-2024,159.7,157.5,159.9,157.4,181.48M,1.59%
16-07-2024,157.2,159.5,159.9,156.3,182.23M,-0.95%
12-07-2024,158.7,158.9,160.5,158.5,250.56M,-0.50%
11-07-2024,159.5,159,160.3,158.4,228.26M,0.76%
10-07-2024,158.3,156.2,158.3,155.7,226.57M,1.15%
09-07-2024,156.5,154.3,157,153.5,214.95M,1.43%
08-07-2024,154.3,155,155.3,152.9,250.58M,-1.03%
05-07-2024,155.9,157.5,157.6,155.7,199.50M,-1.08%
04-07-2024,157.6,159,159.1,157.2,220.24M,-0.57%
03-07-2024,158.5,157,158.5,156.7,262.91M,1.47%
02-07-2024,156.2,157,157.1,155.3,258.89M,0.00%
01-07-2024,156.2,154.1,156.4,153.2,285.90M,2.90%
28-06-2024,151.8,151.9,153.5,151.6,243.81M,0.33%
27-06-2024,151.3,150.4,151.3,149.7,210.60M,0.00%
26-06-2024,151.3,151,151.4,149.3,211.79M,0.27%
25-06-2024,150.9,149.4,150.9,148.6,210.78M,1.00%
24-06-2024,149.4,148,149.5,147.5,213.45M,1.63%
21-06-2024,147,146,148.6,146,244.11M,0.68%
20-06-2024,146,145.7,146.6,145.3,174.17M,0.27%
19-06-2024,145.6,145.5,145.8,144.4,199.45M,0.07%
18-06-2024,145.5,144,146.4,144,188.53M,0.41%
17-06-2024,144.9,145.2,146.5,144.5,234.21M,-1.09%
14-06-2024,146.5,146,146.9,145.4,421.26M,-0.88%
13-06-2024,147.8,148,148.4,147,288.60M,-0.14%
12-06-2024,148,149.9,150,147.6,362.47M,-1.46%
11-06-2024,150.2,150.5,151.6,150.2,171.47M,-0.66%
10-06-2024,151.2,150.4,151.4,149.5,205.29M,0.80%
07-06-2024,150,150,150.6,150,260.57M,-0.86%
06-06-2024,151.3,152,152.1,150.5,324.09M,-0.79%
05-06-2024,152.5,152.6,153,152,212.28M,-1.10%
04-06-2024,154.2,154.5,154.7,153.6,151.72M,-0.52%
03-06-2024,155,155.9,156.4,154.6,156.84M,0.45%
31-05-2024,154.3,152,154.7,152,301.19M,1.38%
30-05-2024,152.2,151.8,153,151.2,170.57M,0.13%
29-05-2024,152,153.6,154.4,152,215.77M,-1.17%
28-05-2024,153.8,156.2,156.8,153.2,236.01M,-1.28%
27-05-2024,155.8,153.5,155.8,152.9,217.61M,2.10%
24-05-2024,152.6,152,152.8,151.4,200.56M,-0.13%
23-05-2024,152.8,153.8,154.3,152,211.37M,-1.10%
22-05-2024,154.5,154.8,156.1,153.9,220.48M,0.85%
21-05-2024,153.2,153,153.3,152.3,206.23M,0.92%
20-05-2024,151.8,152,154.4,151.5,357.28M,0.00%
17-05-2024,151.8,152,156.5,151.6,417.05M,-1.43%
16-05-2024,154,156.7,157.6,153.4,381.52M,-1.72%
15-05-2024,156.7,158.1,159,156.7,322.15M,-1.76%
14-05-2024,159.5,160,161.3,159.5,289.39M,-0.44%
13-05-2024,160.2,160.1,161.6,160,318.64M,-1.29%
10-05-2024,162.3,169,170.1,160.9,437.08M,-3.34%
09-05-2024,167.9,168.1,169.2,167.9,130.10M,-0.12%
08-05-2024,168.1,170.1,170.6,168.1,132.53M,-1.00%
07-05-2024,169.8,170.5,170.8,168.8,144.73M,-0.35%
02-05-2024,170.4,171,171,169.6,123.66M,-0.06%
01-05-2024,170.5,170.2,171.2,169.9,87.15M,-0.18%
30-04-2024,170.8,170.3,170.9,169.3,152.80M,1.55%
26-04-2024,168.2,168.5,168.9,167.5,219.86M,-0.71%
25-04-2024,169.4,170,171.1,169,164.72M,-0.94%
24-04-2024,171,172.4,172.4,169.8,192.82M,-0.23%
23-04-2024,171.4,172.3,173.4,171,133.77M,-0.35%
22-04-2024,172,170.9,172.5,170.8,193.57M,2.44%
19-04-2024,167.9,168.1,168.3,166,324.95M,-1.12%
18-04-2024,169.8,169.1,170.8,169,179.47M,-0.06%
17-04-2024,169.9,172.2,172.3,169.3,190.92M,-1.45%
16-04-2024,172.4,173.1,173.5,171.7,230.62M,-1.26%
15-04-2024,174.6,174.5,175.1,173.7,144.59M,-0.34%
12-04-2024,175.2,175,175.7,174.6,135.43M,-0.06%
11-04-2024,175.3,175.3,176.1,174.6,111.47M,-0.17%
10-04-2024,175.6,176.8,176.8,175.1,103.79M,-0.68%
09-04-2024,176.8,175.7,176.9,175.3,152.41M,0.74%
08-04-2024,175.5,174.5,176,174.5,153.48M,0.29%
05-04-2024,175,174,175.2,173,177.55M,0.00%
04-04-2024,175,178,178,174.8,278.40M,-1.30%
03-04-2024,177.3,177,177.8,176.2,173.36M,-0.06%
02-04-2024,177.4,177,178.4,176.5,159.74M,0.40%
01-04-2024,176.7,180,180.1,176.7,219.68M,-1.72%
29-03-2024,179.8,180.1,180.8,179.4,198.08M,-0.11%
28-03-2024,180,181,181.9,180,194.14M,-2.17%
27-03-2024,184,184,184.8,183.7,190.68M,-0.11%
26-03-2024,184.2,183.7,185.2,182.7,150.80M,0.66%
25-03-2024,183,184.3,184.4,182.5,136.08M,-0.27%
22-03-2024,183.5,181,184.1,180.8,234.84M,1.83%
21-03-2024,180.2,182.1,183,180,303.57M,-1.04%
19-03-2024,182.1,181,182.9,180.3,183.22M,0.66%
18-03-2024,180.9,181.1,181.8,180.7,140.51M,0.22%
15-03-2024,180.5,180.5,181.9,180.4,196.36M,-0.72%
14-03-2024,181.8,180.5,182.2,180.2,119.55M,0.66%
13-03-2024,180.6,180.9,181.6,180,122.31M,-0.17%
12-03-2024,180.9,181.3,182.3,180,157.16M,-0.82%
11-03-2024,182.4,185.1,185.1,180.7,174.60M,-1.67%
08-03-2024,185.5,184.8,185.5,183,194.97M,0.76%
07-03-2024,184.1,181.5,184.3,181.4,189.96M,1.10%
06-03-2024,182.1,180.2,183.2,180.2,153.55M,0.77%
05-03-2024,180.7,180,181.5,180,139.33M,0.00%
04-03-2024,180.7,181,182.3,180.5,156.42M,0.00%
01-03-2024,180.7,182.1,182.2,180.7,184.18M,-0.88%
29-02-2024,182.3,183.1,183.9,182.3,140.08M,-0.65%
28-02-2024,183.5,183.1,184.4,182.1,131.49M,0.55%
27-02-2024,182.5,182.5,183.5,182,127.59M,0.27%
26-02-2024,182,180,182.1,179.3,211.87M,0.78%
22-02-2024,180.6,181.4,182.3,180.6,179.05M,-0.77%
21-02-2024,182,180.7,182.6,180.7,157.20M,0.22%
20-02-2024,181.6,183.2,183.9,181.6,154.04M,0.17%
19-02-2024,181.3,182.1,182.6,181.3,119.50M,-1.04%
16-02-2024,183.2,182.1,185.5,181.7,209.98M,1.22%
15-02-2024,181,182.8,182.9,180.3,165.04M,-0.17%
14-02-2024,181.3,180.1,181.9,179.9,151.75M,0.17%
13-02-2024,181,182,182.6,179.8,153.82M,0.11%
09-02-2024,180.8,178.3,181.9,176.8,202.67M,0.84%
08-02-2024,179.3,184.3,184.9,179.3,277.84M,-2.24%
07-02-2024,183.4,181.4,184.1,180.6,140.67M,0.00%
06-02-2024,183.4,186,186.5,183.4,159.65M,-1.77%
05-02-2024,186.7,189.1,189.3,186.4,127.49M,-0.43%
02-02-2024,187.5,187.5,188.2,186.6,104.50M,0.16%
01-02-2024,187.2,185.7,187.9,185.6,122.60M,0.48%
31-01-2024,186.3,185,186.3,183.9,141.46M,0.65%
30-01-2024,185.1,187,187.6,185.1,136.84M,0.05%
29-01-2024,185,183.4,185.3,183.4,91.50M,0.87%
26-01-2024,183.4,185.5,185.9,183.4,145.14M,-1.56%
25-01-2024,186.3,186.6,188.3,186.3,101.70M,-0.64%
24-01-2024,187.5,189,189.6,186.9,138.93M,-1.21%
23-01-2024,189.8,191.9,192.9,189.7,144.95M,-0.73%
22-01-2024,191.2,189,191.2,188.6,165.39M,2.19%
19-01-2024,187.1,188.5,189.3,186.7,152.76M,-0.64%
18-01-2024,188.3,188,189.3,187.7,134.89M,0.16%
17-01-2024,188,187.4,191.1,186.8,244.85M,0.64%
16-01-2024,186.8,188,188.4,185.6,182.39M,0.43%
15-01-2024,186,181,186,181,208.83M,3.10%
12-01-2024,180.4,181.4,182.8,180,215.85M,-0.11%
11-01-2024,180.6,179,180.6,178.7,202.65M,2.09%
10-01-2024,176.9,176.2,177.4,175.9,168.39M,1.03%
09-01-2024,175.1,173.9,175.4,173.9,156.44M,0.69%
05-01-2024,173.9,173.5,175,173.1,185.15M,0.69%
04-01-2024,172.7,170.1,173.3,169.5,161.22M,0.23%
29-12-2023,172.3,172.1,173.4,170.9,147.77M,0.23%
28-12-2023,171.9,172.4,173.9,171.5,116.89M,0.17%
27-12-2023,171.6,171.2,172,171,114.35M,0.47%
26-12-2023,170.8,171.4,171.5,169.9,104.94M,-0.29%
25-12-2023,171.3,172.3,172.6,171.1,57.83M,-0.35%
22-12-2023,171.9,170.6,172.4,170.6,127.00M,0.82%
21-12-2023,170.5,169.6,171,169,134.07M,0.71%
20-12-2023,169.3,167.8,169.9,167.7,167.64M,0.18%
19-12-2023,169,169.5,169.9,167.5,211.52M,0.06%
18-12-2023,168.9,169.7,169.8,168.4,173.36M,-0.53%
15-12-2023,169.8,170,170.9,169.3,221.75M,-0.29%
14-12-2023,170.3,171.6,171.8,170.3,150.86M,-0.93%
13-12-2023,171.9,173.1,173.7,171.9,114.94M,0.00%
12-12-2023,171.9,171.6,173.2,171.4,126.30M,-0.06%
11-12-2023,172,171.3,172,171,109.51M,0.88%
08-12-2023,170.5,171.6,172.4,170.5,212.60M,-1.22%
07-12-2023,172.6,171.2,172.8,171,147.47M,-0.40%
06-12-2023,173.3,171.8,173.7,171.3,142.11M,1.46%
05-12-2023,170.8,171.3,171.5,170.5,141.31M,-0.41%
04-12-2023,171.5,172.6,172.7,171.5,135.23M,-0.98%
01-12-2023,173.2,174,174.1,172.7,146.39M,0.06%
30-11-2023,173.1,172,173.1,171.4,201.18M,0.64%
29-11-2023,172,173.1,173.2,172,110.78M,-0.75%
28-11-2023,173.3,173.3,174.3,172.4,104.48M,0.00%
27-11-2023,173.3,172.9,174.2,172.5,125.39M,0.52%
24-11-2023,172.4,174,174.2,172.3,122.52M,-0.40%
22-11-2023,173.1,173.1,174.7,172.7,96.95M,-0.46%
21-11-2023,173.9,173.2,174.4,172.8,109.27M,0.23%
20-11-2023,173.5,175.4,175.5,173.5,113.24M,-1.08%
17-11-2023,175.4,173.1,175.4,172.9,119.14M,1.98%
16-11-2023,172,171.9,173.4,171.8,111.29M,-0.12%
15-11-2023,172.2,174.8,175.1,171.8,154.79M,-1.49%
14-11-2023,174.8,175.6,176,174.3,87.97M,0.40%
13-11-2023,174.1,173.4,174.3,172.6,113.94M,0.75%
10-11-2023,172.8,169.1,173.7,169.1,157.79M,1.83%
09-11-2023,169.7,168.5,170.7,167.8,167.38M,0.83%
08-11-2023,168.3,171.8,172.9,168,303.03M,-3.77%
07-11-2023,174.9,177,178.5,173.6,199.03M,-1.13%
06-11-2023,176.9,178.2,179.2,176.9,198.86M,-0.39%
02-11-2023,177.6,178.6,179.5,177.5,127.48M,-0.39%
01-11-2023,178.3,177.3,178.8,176.8,176.55M,0.85%
31-10-2023,176.8,176.2,177.8,174.8,200.56M,1.78%
30-10-2023,173.7,173.5,174.2,172.4,588.90M,-0.97%
27-10-2023,175.4,173.7,176,173.7,128.70M,1.10%
26-10-2023,173.5,174.7,174.7,172.7,130.43M,-0.74%
25-10-2023,174.8,173.9,175.7,173.6,125.00M,0.75%
24-10-2023,173.5,173.3,174.1,171.4,137.79M,0.12%
23-10-2023,173.3,173.5,174.1,172.8,111.43M,-0.17%
20-10-2023,173.6,172.9,174.5,172.6,102.74M,0.17%
19-10-2023,173.3,171.5,173.7,171.4,118.26M,0.58%
18-10-2023,172.3,173,173.3,171.6,117.87M,-0.63%
17-10-2023,173.4,172.1,174,172,111.91M,0.70%
16-10-2023,172.2,175,175.3,171.8,149.27M,-2.10%
13-10-2023,175.9,175.9,177,175.3,132.53M,0.00%
12-10-2023,175.9,177,177.1,175,153.01M,-0.23%
11-10-2023,176.3,176.1,177.4,175.9,137.00M,-0.11%
10-10-2023,176.5,173.4,177.9,173.4,174.32M,1.96%
06-10-2023,173.1,174,175.1,172.5,172.90M,-0.52%
05-10-2023,174,172,175.3,172,170.78M,1.58%
04-10-2023,171.3,173,173.8,170.8,193.49M,-2.11%
